,x,y
0,-10.136945,14.869194
1,4.567706,-8.27859
2,-21.9291,4.777613
3,-21.474787,4.0888853
4,2.8836668,-9.300027
5,-10.92002,14.386577
6,-20.298712,6.556713
7,-6.871139,19.138308
8,7.340279,-4.68842
9,-20.618753,0.17939608
10,-13.923281,-3.7316084
11,-27.04361,0.20740204
12,-15.130512,-0.6342715
13,-10.770011,14.035524
14,-16.473837,9.351047
15,-11.775731,12.800142
16,-24.824966,7.9289813
17,-31.84187,7.16797
18,-31.38897,5.148866
19,-30.284561,4.5214276
20,-13.335663,8.620568
21,-25.217838,7.347995
22,5.003075,22.814117
23,-32.941925,5.000107
24,-4.1008887,19.78598
25,6.036182,-6.3104115
26,-12.286363,12.655112
27,-28.029104,1.8592197
28,-31.265297,4.8783255
29,-15.941394,10.059985
30,-4.7914248,22.465746
31,4.1913233,-10.166294
32,4.6171083,-12.092696
33,-7.937985,17.756588
34,3.2213943,-11.080985
35,-14.7438965,-1.3150467
36,-31.681221,2.977087
37,-25.222187,-0.8425484
38,-4.4731913,22.402113
39,-23.320648,7.226073
40,-8.15361,16.993345
41,-32.289814,3.4128475
42,3.7277749,-14.840421
43,3.445263,-10.787281
44,-18.036331,2.726642
45,-8.7610655,16.75043
46,-4.842033,22.658415
47,-11.254456,13.931678
48,4.6491876,-19.62085
49,13.7449875,-19.524658
50,3.348641,-11.5983925
51,-26.651365,-0.11025804
52,-32.056156,4.351037
53,-32.793858,5.2292843
54,-32.402626,6.465509
55,-27.90873,8.323142
56,-10.345,14.836327
57,15.736237,-6.9262614
58,4.446467,-18.464462
59,-9.8521805,-4.3147707
60,-0.7382512,-11.717071
61,-29.327585,8.235018
62,-31.906967,8.402751
63,-24.502571,7.9412856
64,-26.308979,7.752464
65,-25.760796,0.41523582
66,-5.441056,21.700209
67,1.8219647,-9.18945
68,-2.7961662,-7.005864
69,-8.375107,16.73539
70,-32.880676,5.7500973
71,-15.298189,-0.4492259
72,-26.479702,8.228285
73,3.525908,-12.308005
74,-0.6457073,24.38082
75,-9.018059,15.654552
76,-24.323288,-1.2004318
77,-28.740015,8.425602
78,4.5730968,-19.4968
79,-1.2072318,-10.44466
80,-16.177856,-3.5198684
81,10.792604,-25.436039
82,-28.517572,8.14852
83,-32.751534,4.5872564
84,-5.4539976,21.485033
85,-31.75393,6.826512
86,-18.03417,9.103827
87,-11.204051,13.125129
88,-31.127228,8.360847
89,-9.645772,14.756242
90,11.469834,-20.942616
91,-1.7089591,-38.42268
92,5.3176594,-22.642593
93,-5.3389626,18.588339
94,-24.436516,8.181159
95,-0.077567294,-35.974716
96,5.500079,-26.963278
97,-0.35177603,-36.29909
98,-32.831074,7.7423434
99,0.89928234,-35.232403
100,-10.937444,-5.139272
101,-31.013506,8.116388
102,-28.27601,8.321542
103,-12.667598,-2.3920014
104,-2.2692692,-9.3088455
105,5.4960113,-23.427061
106,-19.22373,8.476733
107,-14.052194,11.230957
108,5.5008817,-25.258211
109,0.40591088,-10.597628
110,-15.295312,6.4526176
111,-7.7764626,16.017538
112,4.3798823,-12.148966
113,15.955217,-3.9760783
114,-11.360165,13.927064
115,-4.5154457,22.983019
116,10.1761875,-28.68747
117,-3.055373,-4.267106
118,-25.560402,8.1793165
119,4.8846226,-13.134156
120,4.818534,-18.591536
121,4.1754794,-14.281489
122,-11.527157,13.685977
123,-1.4969558,-37.222816
124,4.575217,-16.129536
125,-29.916225,1.7145277
126,-32.260384,7.741546
127,-4.8119564,20.331678
128,-27.687452,8.266781
129,-1.3173267,-38.043503
130,-32.269867,6.409611
131,-8.650305,16.489569
132,4.638331,-19.38194
133,6.3895864,-9.792738
134,-33.566086,4.971359
135,-16.300316,-0.33108744
136,-3.3642015,-8.115285
137,-9.564443,14.389689
138,-13.819329,11.378695
139,6.0318756,-7.3671703
140,5.546374,-25.330978
141,-4.0359936,-8.377883
142,-30.30182,8.324835
143,-0.8124819,-11.276334
144,-8.770215,15.338636
145,-34.18567,6.9694986
146,-1.8173276,-10.1627445
147,3.958605,-20.817616
148,5.3994236,-22.719498
149,11.9151945,-12.666684
150,8.531081,-30.799257
151,-17.307562,-2.7650754
152,-12.4192295,12.26451
153,5.146808,-21.269293
154,-1.479867,-38.090168
155,-5.9465027,20.902071
156,-11.698882,11.925335
157,-6.3477097,20.138437
158,-31.649828,8.39964
159,-22.510223,7.1810594
160,2.8117855,-13.217776
161,-5.5266995,21.241028
162,-32.120617,7.862751
163,-4.962357,-39.260117
164,-24.646729,-0.8164421
165,-6.1185756,19.063683
166,-5.6102014,18.686161
167,-33.8672,6.829683
168,-32.88728,6.9188786
169,-12.605495,12.439881
170,-4.9558067,22.513153
171,-10.832618,-5.0345144
172,-29.286293,6.1576147
173,-34.250824,6.21438
174,-8.84644,16.160988
175,3.847372,-31.798922
176,11.97767,-12.459171
177,-32.39447,8.047182
178,5.1793146,-28.253061
179,5.028289,-24.385946
180,5.528334,-21.442017
181,10.492872,-28.05589
182,2.422082,-12.291611
183,-2.5850317,-4.376919
184,-14.447854,10.984911
185,5.2582774,-27.47666
186,-5.025424,-7.7581162
187,-21.61884,0.76296145
188,-0.50658023,26.419546
189,-24.039473,7.5962563
190,5.907424,-27.087193
191,7.3231683,-31.630568
192,-18.585148,8.713982
193,-31.474012,8.495105
194,-14.690023,-1.3089685
195,-11.731636,13.229969
196,-6.3502154,19.87272
197,4.64145,-18.710884
198,4.113957,-17.055616
199,-10.875256,-3.779531
200,3.2086098,-10.855383
201,-15.353999,3.6465657
202,-16.208166,9.7622385
203,-26.969347,7.8773546
204,-12.481577,8.890487
205,-16.47363,9.427667
206,-0.4489668,-37.977142
207,-32.720066,7.0143013
208,0.90767354,-37.905132
209,6.3420453,-22.467232
210,-31.764534,6.4299254
211,5.5398097,-23.056314
212,10.750662,9.611829
213,-8.023465,17.326246
214,6.189551,-27.727455
215,5.4407806,-10.813109
216,5.005005,-19.97565
217,5.0542984,-19.949503
218,-33.74789,5.7251883
